ORIGIN,Southwest
KGX,0.0
KKA,0.0
KKB,0.0
KKH,0.0
KKI,0.0
KLG,0.0
KLL,0.0
KLN,0.0
KMO,0.0
KNK,0.0
KNW,0.0
KOA,0.0
KOT,0.0
KOZ,0.0
KPB,0.0
KPN,0.0
KPR,0.0
KPV,0.0
KQA,0.0
KSM,0.0
KTB,0.0
KTN,0.0
KTS,0.0
KUK,0.0
KVC,0.0
KVL,0.0
KWK,0.0
KWN,0.0
KWP,0.0
KWT,0.0
KXA,0.0
KYK,0.0
KYU,0.0
KZB,0.0
LAF,0.0
LAN,0.0
LAR,0.0
LAS,0.43935566319083535
LAW,0.0
LAX,0.16595043277308374
LBB,0.592485330781435
LBE,0.0
LBF,0.0
LBL,0.0
LCH,0.0
LCK,0.0
LEB,0.0
LEX,0.0
LFT,0.0
LGA,0.0453968880627432
LGB,0.0
LGC,0.0
LGD,0.0
LIH,0.0
LIJ,0.0
LIT,0.36447395680001743
LKE,0.0
LMA,0.0
LMT,0.0
LNK,0.0
LNS,0.0
LNY,0.0
LPS,0.0
LRD,0.0
LSE,0.0
LSV,0.0
LUK,0.0
LUP,0.0
LUR,0.0
LVK,0.0
LWB,0.0
LWS,0.0
LWT,0.0
LYH,0.0
MAF,0.5535165368525666
MAZ,0.0
MBS,0.0
MCE,0.0
MCG,0.0
MCI,0.467203540446785
MCK,0.0
MCN,0.0
MCO,0.2369066311572175
MCW,0.0
MDT,0.002583534274888047
MDW,0.9060219951653317
MEI,0.0
MEM,0.00043494934944672575
MEO,0.0
MFD,0.0
MFE,0.0
MFR,0.0
MGM,0.0
MGW,0.0
MHK,0.0
MHR,0.0
MHT,0.6243206312350384
MIA,0.0
MKC,0.0
MKE,0.31873506917590444
MKG,0.0
MKK,0.0
MKL,0.0
MLB,0.0
MLI,0.0
MLL,0.0
MLS,0.0
MLU,0.0
MLY,0.0
MMH,0.0
MNT,0.0
MOB,0.0
MOD,0.0
MOT,0.0
MOU,0.0
MQT,0.0
MQY,0.0
MRI,0.0
MRY,0.0
MSL,0.0
MSN,0.0
MSO,0.0
MSP,0.050274620060445877
MSS,0.0
MSY,0.36254700258484357
MTH,0.0
MTJ,0.0
MTM,0.0
MUE,0.0
MVW,0.0
MVY,0.0
MWA,0.0
MWH,0.0
MXY,0.0
MYK,0.0
MYR,0.0
MYU,0.0
MZJ,0.0
NHZ,0.0
NIB,0.0
NIN,0.0
NJK,0.0
NKI,0.0
NLG,0.0
NME,0.0
NNL,0.0
NUI,0.0
NUL,0.0
NUP,0.0
NYL,0.0
OAJ,0.0
OAK,0.7101468991521791
OBU,0.0
OCF,0.0
OGD,0.0
OGG,0.0
OGS,0.0
